epoch,learning_rate,loss,mae,mse,val_loss,val_mae,val_mse
0,0.0010000000474974513,2.9618380069732666,0.4005257189273834,0.2987997531890869,2.9162049293518066,0.46585890650749207,0.2713993489742279
1,0.0010000000474974513,2.8895068168640137,0.39220061898231506,0.24940206110477448,2.8933608531951904,0.47861284017562866,0.27192577719688416
2,0.0010000000474974513,3.082090377807617,0.4291488826274872,0.4639532268047333,2.850208282470703,0.4634400010108948,0.23674893379211426
3,0.0010000000474974513,3.0940585136413574,0.4499993324279785,0.47640135884284973,2.9181034564971924,0.46497082710266113,0.25179484486579895
4,0.0010000000474974513,3.0034966468811035,0.4323105812072754,0.31013748049736023,3.402923583984375,0.6500954031944275,0.5846286416053772
5,0.0010000000474974513,3.1886394023895264,0.4226974546909332,0.33593279123306274,3.6636619567871094,0.7033079862594604,0.679567813873291
6,0.0010000000474974513,3.420198917388916,0.4940243065357208,0.4069354832172394,3.897463321685791,0.7487514615058899,0.7768354415893555
7,0.0010000000474974513,3.450253486633301,0.385600745677948,0.3099416196346283,3.9904751777648926,0.7380643486976624,0.7863272428512573
8,0.0010000000474974513,3.594372510910034,0.4270091950893402,0.3838159739971161,3.897435426712036,0.6990342736244202,0.6648451089859009
9,0.0010000000474974513,3.481208086013794,0.4009314477443695,0.24305151402950287,3.8800997734069824,0.705904483795166,0.6273275017738342
10,0.0010000000474974513,3.7080326080322266,0.4645584523677826,0.45802760124206543,3.8440399169921875,0.7275527119636536,0.61256343126297
11,0.0010000000474974513,3.6886301040649414,0.48629462718963623,0.4636791944503784,3.8790552616119385,0.7990249991416931,0.6817976832389832
12,0.0010000000474974513,3.4975857734680176,0.4354999363422394,0.30882909893989563,3.9108798503875732,0.8345502018928528,0.7571371793746948
13,0.0010000000474974513,3.3071813583374023,0.320940226316452,0.16276860237121582,3.947904348373413,0.8660658597946167,0.847205638885498
14,0.0010000000474974513,3.4540586471557617,0.4509013891220093,0.36763080954551697,3.8952293395996094,0.8718885183334351,0.875225841999054
15,0.0010000000474974513,3.3438363075256348,0.41029641032218933,0.3420090079307556,3.587627410888672,0.7616356611251831,0.655990481376648
16,0.0010000000474974513,3.3970682621002197,0.4588856101036072,0.47966888546943665,3.3706400394439697,0.6511080861091614,0.49869483709335327
17,0.0010000000474974513,3.00205659866333,0.30658066272735596,0.13795532286167145,3.4236528873443604,0.6923832893371582,0.594853937625885
18,0.0010000000474974513,3.0720362663269043,0.3998999297618866,0.25456565618515015,3.471632480621338,0.7453024983406067,0.7044423818588257
19,0.0010000000474974513,3.2152891159057617,0.4606556296348572,0.4606768786907196,3.4296836853027344,0.7515640258789062,0.723977267742157
20,0.0010000000474974513,2.9546492099761963,0.388740211725235,0.2609596252441406,3.2519474029541016,0.6779170036315918,0.6037347912788391
